コード,ランキング,都道府県,市区町村,人口,男,女
011002,4,北海道,札幌市,"1,956,928","915,082","1,041,846"
012025,110,北海道,函館市,"240,218","109,343","130,875"
012033,267,北海道,小樽市,"106,507","48,187","58,320"
012041,76,北海道,旭川市,"320,436","148,621","171,815"
012050,356,北海道,室蘭市,"76,519","36,851","39,668"
012068,171,北海道,釧路市,"157,519","74,072","83,447"
012076,165,北海道,帯広市,"162,460","77,538","84,922"
012084,255,北海道,北見市,"111,740","53,252","58,488"
012092,1361,北海道,夕張市,"6,411","3,032","3,379"
012106,363,北海道,岩見沢市,"75,522","35,270","40,252"
012114,706,北海道,網走市,"32,846","16,129","16,717"
012122,946,北海道,留萌市,"18,695","9,042","9,653"
012131,161,北海道,苫小牧市,"166,846","81,829","85,017"
012149,739,北海道,稚内市,"30,946","15,308","15,638"
012157,937,北海道,美唄市,"18,976","9,021","9,955"
012165,1145,北海道,芦別市,"11,571","5,331","6,240"
012173,227,北海道,江別市,"118,686","56,361","62,325"
012181,1251,北海道,赤平市,"8,741","3,974","4,767"
012190,913,北海道,紋別市,"20,260","9,519","10,741"
012203,986,北海道,士別市,"16,869","8,060","8,809"
012211,834,北海道,名寄市,"25,376","12,348","13,028"
012220,1301,北海道,三笠市,"7,465","3,423","4,042"
012238,870,北海道,根室市,"23,006","11,008","11,998"
012246,287,北海道,千歳市,"97,999","49,794","48,205"
012254,653,北海道,滝川市,"37,309","17,670","19,639"
012262,1020,北海道,砂川市,"15,520","7,207","8,313"
012271,1599,北海道,歌志内市,"2,668","1,274","1,394"
012289,944,北海道,深川市,"18,764","8,725","10,039"
012297,917,北海道,富良野市,"19,949","9,442","10,507"
012301,578,北海道,登別市,"44,451","21,260","23,191"
012319,396,北海道,恵庭市,"70,354","34,217","36,137"
012335,725,北海道,伊達市,"31,822","14,788","17,034"
012343,470,北海道,北広島市,"56,903","27,211","29,692"
012351,466,北海道,石狩市,"57,645","27,890","29,755"
012360,590,北海道,北斗市,"43,660","20,557","23,103"
013030,1030,北海道,石狩郡当別町,"15,286","7,479","7,807"
013048,1586,北海道,石狩郡新篠津村,"2,808","1,350","1,458"
013315,1390,北海道,松前郡松前町,"6,030","2,855","3,175"
013323,1544,北海道,松前郡福島町,"3,467","1,623","1,844"
013331,1516,北海道,上磯郡知内町,"3,898","1,912","1,986"
013340,1527,北海道,上磯郡木古内町,"3,644","1,703","1,941"
013374,797,北海道,亀田郡七飯町,"27,544","12,759","14,785"
013439,1534,北海道,茅部郡鹿部町,"3,570","1,689","1,881"
013455,1081,北海道,茅部郡森町,"13,865","6,471","7,394"
013463,1046,北海道,二海郡八雲町,"14,779","7,336","7,443"
013471,1455,北海道,山越郡長万部町,"4,817","2,278","2,539"
013617,1338,北海道,檜山郡江差町,"6,820","3,280","3,540"
013625,1493,北海道,檜山郡上ノ国町,"4,254","1,982","2,272"
013633,1545,北海道,檜山郡厚沢部町,"3,405","1,628","1,777"
013641,1552,北海道,爾志郡乙部町,"3,249","1,480","1,769"
013676,1630,北海道,奥尻郡奥尻町,"2,269","1,198","1,071"
013706,1472,北海道,瀬棚郡今金町,"4,623","2,230","2,393"
013714,1331,北海道,久遠郡せたな町,"6,948","3,285","3,663"
013919,1689,北海道,島牧郡島牧村,"1,286",633,653
013927,1597,北海道,寿都郡寿都町,"2,694","1,335","1,359"
013935,1606,北海道,寿都郡黒松内町,"2,573","1,222","1,351"
013943,1481,北海道,磯谷郡蘭越町,"4,496","2,188","2,308"
013951,1422,北海道,虻田郡ニセコ町,"5,481","2,840","2,641"
013960,1652,北海道,虻田郡真狩村,"1,952",995,957
013978,1647,北海道,虻田郡留寿都村,"2,036","1,050",986
013986,1651,北海道,虻田郡喜茂別町,"1,957",975,982
013994,1587,北海道,虻田郡京極町,"2,800","1,361","1,439"
014001,997,北海道,虻田郡倶知安町,"16,505","8,600","7,905"
014010,1425,北海道,岩内郡共和町,"5,430","2,754","2,676"
014028,1158,北海道,岩内郡岩内町,"11,094","5,241","5,853"
014036,1677,北海道,古宇郡泊村,"1,464",717,747
014044,1718,北海道,古宇郡神恵内村,757,368,389
014052,1658,北海道,積丹郡積丹町,"1,770",821,949
014061,1600,北海道,古平郡古平町,"2,656","1,261","1,395"
014079,1564,北海道,余市郡仁木町,"3,040","1,484","1,556"
014087,981,北海道,余市郡余市町,"17,222","7,994","9,228"
014095,1685,北海道,余市郡赤井川村,"1,353",731,622
014231,1289,北海道,空知郡南幌町,"7,785","3,744","4,041"
014249,1451,北海道,空知郡奈井江町,"4,819","2,277","2,542"
014257,1616,北海道,空知郡上砂川町,"2,459","1,137","1,322"
014273,1468,北海道,夕張郡由仁町,"4,662","2,231","2,431"
014281,1207,北海道,夕張郡長沼町,"10,057","4,826","5,231"
014290,1171,北海道,夕張郡栗山町,"10,905","5,091","5,814"
014303,1583,北海道,樺戸郡月形町,"2,821","1,455","1,366"
014311,1667,北海道,樺戸郡浦臼町,"1,605",776,829
014320,1369,北海道,樺戸郡新十津川町,"6,312","2,946","3,366"
014338,1602,北海道,雨竜郡妹背牛町,"2,635","1,251","1,384"
014346,1635,北海道,雨竜郡秩父別町,"2,229","1,046","1,183"
014362,1644,北海道,雨竜郡雨竜町,"2,109","1,032","1,077"
014371,1664,北海道,雨竜郡北竜町,"1,637",776,861
014389,1581,北海道,雨竜郡沼田町,"2,840","1,365","1,475"
014524,1348,北海道,上川郡鷹栖町,"6,585","3,148","3,437"
014532,1213,北海道,上川郡東神楽町,"9,862","4,673","5,189"
014541,1383,北海道,上川郡当麻町,"6,136","2,848","3,288"
014559,1543,北海道,上川郡比布町,"3,471","1,646","1,825"
014567,1611,北海道,上川郡愛別町,"2,480","1,176","1,304"
014575,1557,北海道,上川郡上川町,"3,150","1,495","1,655"
014583,1254,北海道,上川郡東川町,"8,576","3,988","4,588"
014591,1226,北海道,上川郡美瑛町,"9,432","4,424","5,008"
014605,1210,北海道,空知郡上富良野町,"10,004","5,096","4,908"
014613,1476,北海道,空知郡中富良野町,"4,579","2,152","2,427"
014621,1627,北海道,空知郡南富良野町,"2,288","1,167","1,121"
014630,1669,北海道,勇払郡占冠村,"1,591",840,751
014648,1577,北海道,上川郡和寒町,"2,903","1,392","1,511"
014656,1585,北海道,上川郡剣淵町,"2,811","1,385","1,426"
014681,1575,北海道,上川郡下川町,"2,935","1,405","1,530"
014699,1521,北海道,中川郡美深町,"3,789","1,841","1,948"
014702,1725,北海道,中川郡音威子府村,636,343,293
014711,1687,北海道,中川郡中川町,"1,304",672,632
014729,1692,北海道,雨竜郡幌加内町,"1,261",625,636
014818,1525,北海道,増毛郡増毛町,"3,725","1,697","2,028"
014826,1589,北海道,留萌郡小平町,"2,781","1,327","1,454"
014834,1593,北海道,苫前郡苫前町,"2,747","1,344","1,403"
014842,1384,北海道,苫前郡羽幌町,"6,135","2,977","3,158"
014851,1704,北海道,苫前郡初山別村,"1,046",510,536
014869,1625,北海道,天塩郡遠別町,"2,335","1,132","1,203"
014877,1595,北海道,天塩郡天塩町,"2,732","1,386","1,346"
015113,1601,北海道,宗谷郡猿払村,"2,648","1,274","1,374"
015121,1549,北海道,枝幸郡浜頓別町,"3,299","1,608","1,691"
015130,1674,北海道,枝幸郡中頓別町,"1,504",754,750
015148,1310,北海道,枝幸郡枝幸町,"7,300","3,526","3,774"
015164,1530,北海道,天塩郡豊富町,"3,583","1,832","1,751"
015172,1633,北海道,礼文郡礼文町,"2,253","1,153","1,100"
015181,1654,北海道,利尻郡利尻町,"1,865",931,934
015199,1637,北海道,利尻郡利尻富士町,"2,194","1,069","1,125"
015202,1645,北海道,天塩郡幌延町,"2,102","1,094","1,008"
015431,967,北海道,網走郡美幌町,"17,813","8,700","9,113"
015440,1503,北海道,網走郡津別町,"4,100","2,010","2,090"
015458,1183,北海道,斜里郡斜里町,"10,694","5,275","5,419"
015466,1526,北海道,斜里郡清里町,"3,715","1,828","1,887"
015474,1484,北海道,斜里郡小清水町,"4,415","2,114","2,301"
015491,1479,北海道,常呂郡訓子府町,"4,533","2,192","2,341"
015504,1603,北海道,常呂郡置戸町,"2,608","1,205","1,403"
015521,1464,北海道,常呂郡佐呂間町,"4,688","2,198","2,490"
015555,959,北海道,紋別郡遠軽町,"18,068","8,816","9,252"
015598,1284,北海道,紋別郡湧別町,"7,983","3,833","4,150"
015601,1626,北海道,紋別郡滝上町,"2,293","1,124","1,169"
015610,1535,北海道,紋別郡興部町,"3,564","1,761","1,803"
015628,1707,北海道,紋別郡西興部村,981,509,472
015636,1504,北海道,紋別郡雄武町,"4,093","1,975","2,118"
015644,1345,北海道,網走郡大空町,"6,626","3,234","3,392"
015717,1536,北海道,虻田郡豊浦町,"3,558","1,714","1,844"
015750,1621,北海道,有珠郡壮瞥町,"2,391","1,160","1,231"
015784,1023,北海道,白老郡白老町,"15,451","7,357","8,094"
015814,1490,北海道,勇払郡厚真町,"4,306","2,182","2,124"
015849,1277,北海道,虻田郡洞爺湖町,"8,068","3,720","4,348"
015857,1308,北海道,勇払郡安平町,"7,311","3,648","3,663"
015865,1307,北海道,勇払郡むかわ町,"7,323","3,598","3,725"
016012,1157,北海道,沙流郡日高町,"11,107","5,726","5,381"
016021,1478,北海道,沙流郡平取町,"4,539","2,249","2,290"
016047,1439,北海道,新冠郡新冠町,"5,137","2,560","2,577"
016071,1148,北海道,浦河郡浦河町,"11,453","5,778","5,675"
016080,1515,北海道,様似郡様似町,"3,901","1,886","2,015"
016098,1500,北海道,幌泉郡えりも町,"4,178","2,120","2,058"
016101,910,北海道,日高郡新ひだか町,"20,591","10,144","10,447"
016314,598,北海道,河東郡音更町,"42,971","20,388","22,583"
016322,1407,北海道,河東郡士幌町,"5,829","2,871","2,958"
016331,1457,北海道,河東郡上士幌町,"4,784","2,371","2,413"
016349,1442,北海道,河東郡鹿追町,"5,061","2,475","2,586"
016357,1419,北海道,上川郡新得町,"5,531","2,774","2,757"
016365,1243,北海道,上川郡清水町,"8,907","4,431","4,476"
016373,962,北海道,河西郡芽室町,"17,955","8,574","9,381"
016381,1518,北海道,河西郡中札内村,"3,886","1,883","2,003"
016390,1559,北海道,河西郡更別村,"3,129","1,535","1,594"
016411,1426,北海道,広尾郡大樹町,"5,337","2,695","2,642"
016420,1392,北海道,広尾郡広尾町,"6,009","2,904","3,105"
016438,830,北海道,中川郡幕別町,"25,617","12,178","13,439"
016446,1391,北海道,中川郡池田町,"6,012","2,839","3,173"
016454,1574,北海道,中川郡豊頃町,"2,937","1,432","1,505"
016462,1376,北海道,中川郡本別町,"6,190","3,034","3,156"
016471,1379,北海道,足寄郡足寄町,"6,172","3,043","3,129"
016489,1640,北海道,足寄郡陸別町,"2,159","1,086","1,073"
016497,1497,北海道,十勝郡浦幌町,"4,195","2,061","2,134"
016616,948,北海道,釧路郡釧路町,"18,642","8,859","9,783"
016624,1265,北海道,厚岸郡厚岸町,"8,395","3,985","4,410"
016632,1427,北海道,厚岸郡浜中町,"5,333","2,615","2,718"
016641,1325,北海道,川上郡標茶町,"6,999","3,418","3,581"
016659,1344,北海道,川上郡弟子屈町,"6,640","3,194","3,446"
016675,1615,北海道,阿寒郡鶴居村,"2,466","1,238","1,228"
016683,1319,北海道,白糠郡白糠町,"7,127","3,334","3,793"
016918,1067,北海道,野付郡別海町,"14,210","7,219","6,991"
016926,879,北海道,標津郡中標津町,"22,440","11,085","11,355"
016934,1446,北海道,標津郡標津町,"4,849","2,356","2,493"
016942,1486,北海道,目梨郡羅臼町,"4,367","2,184","2,183"
016951,1748,北海道,色丹郡色丹村,0,0,0
016969,1747,北海道,国後郡泊村,0,0,0
016977,1746,北海道,国後郡留夜別村,0,0,0
016985,1745,北海道,択捉郡留別村,0,0,0
016993,1744,北海道,紗那郡紗那村,0,0,0
017001,1743,北海道,蘂取郡蘂取村,0,0,0
022012,95,青森県,青森市,"267,520","124,900","142,620"
022021,166,青森県,弘前市,"161,958","74,866","87,092"
022039,125,青森県,八戸市,"218,182","104,588","113,594"
022047,738,青森県,黒石市,"31,003","14,513","16,490"
022055,513,青森県,五所川原市,"50,624","23,220","27,404"
022063,460,青森県,十和田市,"58,328","27,936","30,392"
022071,646,青森県,三沢市,"37,899","18,870","19,029"
022080,501,青森県,むつ市,"52,744","25,748","26,996"
022098,765,青森県,つがる市,"29,472","13,838","15,634"
022101,760,青森県,平川市,"29,713","14,007","15,706"
023019,1212,青森県,東津軽郡平内町,"9,948","4,744","5,204"
023035,1638,青森県,東津軽郡今別町,"2,193","1,055","1,138"
023043,1610,青森県,東津軽郡蓬田村,"2,495","1,207","1,288"
023078,1438,青森県,東津軽郡外ヶ浜町,"5,152","2,460","2,692"
023213,1250,青森県,西津軽郡鰺ヶ沢町,"8,758","4,110","4,648"
023230,1322,青森県,西津軽郡深浦町,"7,038","3,338","3,700"
023434,1693,青森県,中津軽郡西目屋村,"1,242",577,665
023612,1057,青森県,南津軽郡藤崎町,"14,422","6,776","7,646"
023621,1260,青森県,南津軽郡大鰐町,"8,470","3,904","4,566"
023671,1305,青森県,南津軽郡田舎館村,"7,352","3,489","3,863"
023817,1126,青森県,北津軽郡板柳町,"12,445","5,735","6,710"
023841,1140,青森県,北津軽郡鶴田町,"11,756","5,491","6,265"
023876,1220,青森県,北津軽郡中泊町,"9,645","4,554","5,091"
024015,1132,青森県,上北郡野辺地町,"12,027","5,624","6,403"
024023,1063,青森県,上北郡七戸町,"14,320","6,860","7,460"
024058,1181,青森県,上北郡六戸町,"10,714","5,289","5,425"
024066,1499,青森県,上北郡横浜町,"4,181","2,093","2,088"
024082,998,青森県,上北郡東北町,"16,354","7,938","8,416"
024112,1217,青森県,上北郡六ヶ所村,"9,736","5,333","4,403"
024121,836,青森県,上北郡おいらせ町,"25,148","12,160","12,988"
024236,1461,青森県,下北郡大間町,"4,771","2,436","2,335"
024244,1410,青森県,下北郡東通村,"5,738","2,986","2,752"
024252,1666,青森県,下北郡風間浦村,"1,618",782,836
024261,1661,青森県,下北郡佐井村,"1,711",862,849
024414,1240,青森県,三戸郡三戸町,"9,022","4,350","4,672"
024422,1017,青森県,三戸郡五戸町,"15,653","7,571","8,082"
024431,1454,青森県,三戸郡田子町,"4,817","2,320","2,497"
024457,995,青森県,三戸郡南部町,"16,543","7,845","8,698"
024465,1119,青森県,三戸郡階上町,"12,737","6,414","6,323"
024503,1642,青森県,三戸郡新郷村,"2,129","1,056","1,073"
032018,89,岩手県,盛岡市,"280,286","132,316","147,970"
032026,558,岩手県,宮古市,"46,866","22,500","24,366"
032034,707,岩手県,大船渡市,"32,845","15,700","17,145"
032051,308,岩手県,花巻市,"91,094","43,661","47,433"
032069,305,岩手県,北上市,"91,547","45,934","45,613"
032077,722,岩手県,久慈市,"32,000","15,460","16,540"
032085,846,岩手県,遠野市,"24,528","11,829","12,699"
032093,262,岩手県,一関市,"107,555","52,436","55,119"
032107,970,岩手県,陸前高田市,"17,647","8,499","9,148"
032115,757,岩手県,釜石市,"29,902","14,289","15,613"
032131,842,岩手県,二戸市,"24,655","11,692","12,963"
032140,861,岩手県,八幡平市,"23,541","11,368","12,173"
032158,259,岩手県,奥州市,"109,747","53,553","56,194"
032166,484,岩手県,滝沢市,"54,933","26,997","27,936"
033014,1028,岩手県,岩手郡雫石町,"15,301","7,396","7,905"
033022,1424,岩手県,岩手郡葛巻町,"5,433","2,690","2,743"
033031,1137,岩手県,岩手郡岩手町,"11,841","5,805","6,036"
033219,702,岩手県,紫波郡紫波町,"32,904","15,861","17,043"
033227,814,岩手県,紫波郡矢巾町,"26,341","12,598","13,743"
033669,1448,岩手県,和賀郡西和賀町,"4,840","2,281","2,559"
033812,1034,岩手県,胆沢郡金ケ崎町,"15,183","7,803","7,380"
034029,1335,岩手県,西磐井郡平泉町,"6,859","3,321","3,538"
034410,1453,岩手県,気仙郡住田町,"4,817","2,384","2,433"
034614,1182,岩手県,上閉伊郡大槌町,"10,709","5,133","5,576"
034827,1066,岩手県,下閉伊郡山田町,"14,240","6,981","7,259"
034835,1281,岩手県,下閉伊郡岩泉町,"8,038","3,972","4,066"
034843,1569,岩手県,下閉伊郡田野畑村,"2,977","1,499","1,478"
034851,1623,岩手県,下閉伊郡普代村,"2,362","1,187","1,175"
035017,1271,岩手県,九戸郡軽米町,"8,134","3,995","4,139"
035033,1514,岩手県,九戸郡野田村,"3,975","1,943","2,032"
035068,1434,岩手県,九戸郡九戸村,"5,238","2,501","2,737"
035076,1039,岩手県,九戸郡洋野町,"15,051","7,300","7,751"
035246,1165,岩手県,二戸郡一戸町,"10,960","5,310","5,650"
041009,11,宮城県,仙台市,"1,066,362","515,655","550,707"
042021,206,宮城県,石巻市,"134,711","65,406","69,305"
042030,507,宮城県,塩竈市,"52,058","24,983","27,075"
042056,465,宮城県,気仙沼市,"57,652","27,800","29,852"
042064,735,宮城県,白石市,"31,229","15,409","15,820"
042072,342,宮城県,名取市,"79,720","39,197","40,523"
042081,804,宮城県,角田市,"26,917","13,417","13,500"
042099,434,宮城県,多賀城市,"62,061","30,795","31,266"
042111,592,宮城県,岩沼市,"43,448","21,475","21,973"
042129,377,宮城県,登米市,"73,338","35,987","37,351"
042137,435,宮城県,栗原市,"61,910","30,165","31,745"
042145,639,宮城県,東松島市,"38,343","18,777","19,566"
042153,222,宮城県,大崎市,"123,776","60,966","62,810"
042161,504,宮城県,富谷市,"52,418","25,780","26,638"
043010,1159,宮城県,刈田郡蔵王町,"11,074","5,441","5,633"
043028,1696,宮城県,刈田郡七ヶ宿町,"1,225",605,620
043214,862,宮城県,柴田郡大河原町,"23,531","11,522","12,009"
043222,1206,宮城県,柴田郡村田町,"10,061","5,048","5,013"
043231,656,宮城県,柴田郡柴田町,"36,800","18,338","18,462"
043249,1273,宮城県,柴田郡川崎町,"8,116","4,028","4,088"
043419,1136,宮城県,伊具郡丸森町,"11,911","6,013","5,898"
043613,699,宮城県,亘理郡亘理町,"33,077","16,272","16,805"
043621,1146,宮城県,亘理郡山元町,"11,562","5,723","5,839"
044016,1102,宮城県,宮城郡松島町,"13,085","6,333","6,752"
044041,968,宮城県,宮城郡七ヶ浜町,"17,795","8,870","8,925"
044067,663,宮城県,宮城郡利府町,"35,888","17,708","18,180"
044211,788,宮城県,黒川郡大和町,"27,964","14,458","13,506"
044229,1298,宮城県,黒川郡大郷町,"7,584","3,784","3,800"
044245,1415,宮城県,黒川郡大衡村,"5,569","2,804","2,765"
044440,1372,宮城県,加美郡色麻町,"6,265","3,034","3,231"
044458,898,宮城県,加美郡加美町,"21,427","10,586","10,841"
045012,1049,宮城県,遠田郡涌谷町,"14,628","7,207","7,421"
045055,866,宮城県,遠田郡美里町,"23,195","11,331","11,864"
045811,1401,宮城県,牡鹿郡女川町,"5,918","2,913","3,005"
046060,1138,宮城県,本吉郡南三陸町,"11,771","5,794","5,977"
052019,85,秋田県,秋田市,"297,316","140,206","157,110"
052027,541,秋田県,能代市,"48,334","22,450","25,884"
052035,333,秋田県,横手市,"82,454","39,160","43,294"
052043,412,秋田県,大館市,"66,807","31,551","35,256"
052060,853,秋田県,男鹿市,"24,014","11,442","12,572"
052078,622,秋田県,湯沢市,"40,531","19,549","20,982"
052094,794,秋田県,鹿角市,"27,714","13,169","14,545"
052108,388,秋田県,由利本荘市,"71,723","34,625","37,098"
052116,730,秋田県,潟上市,"31,624","15,001","16,623"
052124,367,秋田県,大仙市,"75,207","35,423","39,784"
052132,776,秋田県,北秋田市,"28,536","13,436","15,100"
052141,878,秋田県,にかほ市,"22,463","10,790","11,673"
052159,864,秋田県,仙北市,"23,443","10,884","12,559"
053031,1477,秋田県,鹿角郡小坂町,"4,550","2,123","2,427"
053279,1650,秋田県,北秋田郡上小阿仁村,"1,958",935,"1,023"
053465,1584,秋田県,山本郡藤里町,"2,819","1,354","1,465"
053481,1050,秋田県,山本郡三種町,"14,609","6,777","7,832"
053490,1370,秋田県,山本郡八峰町,"6,301","2,961","3,340"
053619,1280,秋田県,南秋田郡五城目町,"8,060","3,771","4,289"
053635,1430,秋田県,南秋田郡八郎潟町,"5,277","2,412","2,865"
053660,1489,秋田県,南秋田郡井川町,"4,310","2,046","2,264"
053686,1570,秋田県,南秋田郡大潟村,"2,976","1,490","1,486"
054348,966,秋田県,仙北郡美郷町,"17,831","8,455","9,376"
054631,1093,秋田県,雄勝郡羽後町,"13,367","6,505","6,862"
054640,1620,秋田県,雄勝郡東成瀬村,"2,396","1,252","1,144"
062014,112,山形県,山形市,"238,293","114,225","124,068"
062022,361,山形県,米沢市,"75,838","37,245","38,593"
062031,226,山形県,鶴岡市,"118,692","57,067","61,625"
062049,294,山形県,酒田市,"95,789","45,970","49,819"
062057,705,山形県,新庄市,"32,860","15,739","17,121"
062065,627,山形県,寒河江市,"39,745","19,458","20,287"
062073,785,山形県,上山市,"28,084","13,510","14,574"
062081,889,山形県,村山市,"21,742","10,673","11,069"
062090,840,山形県,長井市,"24,851","12,181","12,670"
062103,445,山形県,天童市,"60,627","29,668","30,959"
062111,547,山形県,東根市,"47,830","23,597","24,233"
062120,1075,山形県,尾花沢市,"13,996","6,930","7,066"
062138,766,山形県,南陽市,"29,465","14,272","15,193"
063011,1090,山形県,東村山郡山辺町,"13,570","6,633","6,937"
063029,1184,山形県,東村山郡中山町,"10,590","5,182","5,408"
063215,984,山形県,西村山郡河北町,"17,000","8,344","8,656"
063223,1471,山形県,西村山郡西川町,"4,655","2,261","2,394"
063231,1393,山形県,西村山郡朝日町,"5,999","2,983","3,016"
063240,1311,山形県,西村山郡大江町,"7,284","3,662","3,622"
063410,1385,山形県,北村山郡大石田町,"6,124","3,043","3,081"
063614,1447,山形県,最上郡金山町,"4,848","2,403","2,445"
063622,1296,山形県,最上郡最上町,"7,607","3,747","3,860"
063631,1460,山形県,最上郡舟形町,"4,771","2,336","2,435"
063649,1343,山形県,最上郡真室川町,"6,651","3,201","3,450"
063657,1582,山形県,最上郡大蔵村,"2,830","1,411","1,419"
063665,1522,山形県,最上郡鮭川村,"3,767","1,821","1,946"
063673,1512,山形県,最上郡戸沢村,"3,998","1,902","2,096"
063819,890,山形県,東置賜郡高畠町,"21,681","10,628","11,053"
063827,1087,山形県,東置賜郡川西町,"13,698","6,757","6,941"
064017,1340,山形県,西置賜郡小国町,"6,737","3,396","3,341"
064025,1123,山形県,西置賜郡白鷹町,"12,507","6,186","6,321"
064033,1365,山形県,西置賜郡飯豊町,"6,398","3,169","3,229"
064262,1320,山形県,東田川郡三川町,"7,062","3,456","3,606"
064289,926,山形県,東田川郡庄内町,"19,453","9,421","10,032"
