k,c,w1,w2,w3,m
貼付,てんぷ,ちょうふ,はりつけ,てきふ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
続柄,つづきがら,ぞくがら,つながら,つづきばら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
依存,いそん,いぞん,えそん,いしょん,他のものに頼って存在・機能すること。「いぞん」は慣用読みとして広く使われるが、本来は「いそん」。
雰囲気,ふんいき,ふいんき,ふんき,ふにんき,その場に漂う独特の気配・情緒。「ふいんき」は誤読として定着しているが、正しくは「ふんいき」。
早急,さっきゅう,そうきゅう,はやきゅう,そっきゅう,非常に急ぐこと。「そうきゅう」も許容されているが、本来の読みは「さっきゅう」。
重複,ちょうふく,じゅうふく,かさふく,ちょうぼく,同じものが重なること。「じゅうふく」は慣用読みとして広まっているが、本来は「ちょうふく」。
代替,だいたい,だいがえ,かわりたい,だいたえ,他のものに置き換えること。「だいがえ」は誤読。正しくは「だいたい」。
消耗,しょうもう,しょうこう,しょうひ,けしもう,使って減らすこと、また体力や気力が尽きること。「しょうこう」は誤読。
出納,すいとう,でのう,しゅつのう,でいれ,金銭や物品の出し入れ・収支の管理のこと。会計用語として使われる。
相殺,そうさい,あいさつ,そうさつ,あいさい,互いの利害・損得を差し引いてゼロにすること。「あいさつ（挨拶）」とは別の語。
堪能,たんのう,かんのう,たえのう,たんなう,十分に満足すること、また技芸などに非常に優れていること。
固執,こしつ,こしゅう,こじつ,かたじつ,自分の意見や考えを頑固に守り変えないこと。「こしゅう」は誤読。
漏洩,ろうえい,もれよう,ろうもれ,ろうせつ,秘密や情報などが外部に漏れること。「ろうせつ」とも読むが、「ろうえい」が一般的。
招聘,しょうへい,しょうせい,まねい,しょうへき,礼を尽くして人を招くこと。専門家や著名人を正式に招待する際に使う。
憂鬱,ゆううつ,ゆうめつ,うれいうつ,ゆうこつ,気持ちが晴れず、ふさぎ込んでいる状態。難しい漢字だが読みもよく間違えられる。
脆弱,ぜいじゃく,きじゃく,もろじゃく,ぜいよわ,もろくて弱いこと。システムや体制の弱点を指す際にも使われる。
進捗,しんちょく,しんぽ,しんはか,しんちょ,物事が進みはかどること。仕事の「進捗状況」などの形で使われる。
破綻,はたん,はじょう,やぶれたん,はじれつ,計画や事業などが行き詰まり、うまくいかなくなること。
瑕疵,かし,きず,かじ,けっし,欠点・傷・欠陥のこと。法律・不動産の分野で「瑕疵担保責任」などの形で使われる。
齟齬,そご,ぎょご,しょご,くいちがい,物事がうまく噛み合わず、食い違うこと。「齟齬をきたす」の形でよく使われる。
捺印,なついん,おしいん,なつし,さついん,書類に印鑑を押すこと。「押印」と同じ意味。「なついん」が正しい読み。
遵守,じゅんしゅ,そんしゅ,じゅんまもる,ずんしゅ,法律・規則・命令などをよく守ること。「法令遵守」の形で使われる。
逼迫,ひっぱく,きんぱく,せまりはく,ひきはく,事態が差し迫って余裕がなくなること。財政・状況が追い詰められた状態。
乖離,かいり,そむきり,こうり,かいはなれ,二つのものが離れてしまうこと。理想と現実の「乖離」などの形で使われる。
牽引,けんいん,けいいん,ひきいん,けんびき,引っ張ること。また、物事を主導・先導すること。「経済を牽引する」などの形で使われる。
稚拙,ちせつ,わかへた,じせつ,ちしつ,幼稚でつたないこと。技術や文章などが未熟な様子を指す。
貪欲,どんよく,たんよく,むさぼりよく,どんにん,飽くことなく欲しがること。非常に強い欲求・欲望の強さを表す。
諮問,しもん,はかりもん,じもん,しかもん,専門家や機関に意見・答申を求めること。「審議会に諮問する」などの形で使われる。
遺憾,いかん,いざん,のこかん,いごん,期待通りにならず残念に思うこと。「遺憾に思う」「遺憾なく発揮する」などの形で使われる。
跋扈,ばっこ,はびこり,ばつこ,はっこ,勢力を張って思うままに振る舞うこと。「悪がはびこる」の意味で使われる。
逐次,ちくじ,おいおいじ,たくじ,ちゅくじ,順を追って次々と行うこと。「逐次処理」「逐次報告」などの形で使われる。
払拭,ふっしょく,はらいふく,ふっし,はらいしき,すっかり取り除くこと。「不安を払拭する」の形でよく使われる。
精緻,せいち,せいちゅう,くわしち,せいじ,細部まで細かく精密なこと。非常に細かく丁寧に作られた様子を表す。
斬新,ざんしん,きりしん,さんしん,ざんきん,発想や方法が非常に新鮮で独創的なこと。「斬新なアイデア」の形でよく使われる。
矜持,きょうじ,ほこりじ,きんじ,きょうち,自分の能力・価値への誇りや自負心。「プロとしての矜持」などの形で使われる。
詭弁,きべん,ごまかしべん,ぎべん,きべ,見た目は正しそうだが実際は誤った論理・議論。相手をごまかすための巧みな弁論。
捏造,ねつぞう,でつぞう,こねつぞう,ねつくり,実際にないことを事実のように作り上げること。「記事を捏造する」などの形で使われる。
歪曲,わいきょく,いがみきょく,おうきょく,わいくつ,事実を意図的にゆがめること。「事実を歪曲して伝える」などの形で使われる。
剽窃,ひょうせつ,ぬすみせつ,ひょうたつ,びょうせつ,他人の文章・アイデアなどを盗んで自分のものとして使うこと。いわゆる「パクリ」の書き言葉。
蹂躙,じゅうりん,ふみにじり,ぞうりん,じゅうにん,踏みにじること。人権や規則などを無視して踏みにじる行為。
嗚咽,おえつ,なきじゃくり,おいつ,あえつ,声を詰まらせながら泣くこと。悲しみや感動で泣きじゃくる様子。
逡巡,しゅんじゅん,ためらい,じゅんしゅん,せんじゅん,決断できずにためらうこと。「逡巡して一歩が踏み出せない」などの形で使われる。
蹉跌,さてつ,つまずきてつ,しゃてつ,さくてつ,物事がうまくいかず失敗・挫折すること。「蹉跌を経験する」などの形で使われる。
喧噪,けんそう,かまびすそう,かんそう,けんざつ,騒がしくやかましいこと、またその騒音。「都会の喧噪」の形でよく使われる。
忸怩,じくじ,はじはじ,にくに,じゅくじ,自分の行いを恥ずかしく思う気持ち。「忸怩たる思い」の形で使われる。
辟易,へきえき,うんざり,かへき,ひきえき,嫌になってうんざりすること。しつこさや煩わしさに手を焼く様子。
懊悩,おうのう,なやみのう,あおのう,おうなや,悩み苦しむこと。深く思い悩んで胸を痛める状態を表す。
紐帯,ちゅうたい,ひもたい,じゅうたい,つながりたい,人と人、国と国などをつなぐ絆・きずな。「家族の紐帯」などの形で使われる。
贖罪,しょくざい,かうざい,ぞくざい,しょくつみ,自分の犯した罪や過ちをつぐなうこと。キリスト教的文脈でも使われる語。
慄然,りつぜん,ぶるぜん,おそれぜん,りつねん,恐怖や衝撃で体が震えるほどぞっとする様子。「慄然とする光景」などの形で使われる。
葛藤,かっとう,くずふじ,かつどう,かっとん,相反する欲求や感情が心の中でぶつかり合うこと。「内なる葛藤」などの形で使われる。
刹那,せつな,さつな,しゃとな,くさり,非常に短い瞬間・時間。「刹那的な喜び」などの形で使われる。仏教語が語源。
所謂,いわゆる,しょきん,しょい,ところがい,世間一般で言われる・いわゆる、という意味。「所謂エリートというやつだ」などの形で使われる。
即ち,すなわち,そくち,つまり,ただち,言い換えれば・つまり・その場でという意味。接続詞として広く使われる。
概ね,おおむね,がいね,だいたい,かいね,だいたい・おおよそという意味。「概ね良好」「概ね予定通り」などの形で使われる。
殊に,ことに,しゅに,とくに,べつに,特に・とりわけという意味の副詞。「殊に優れた作品」などの形で使われる。
頗る,すこぶる,はなはだ,たいへん,さかんに,非常に・とても・極めてという意味の副詞。「頗る優秀な人材」などの形で使われる。
何卒,なにとぞ,なにそつ,どうか,なんとぞ,どうか・ぜひともという意味の丁寧な依頼表現。手紙文などでよく使われる。
尤も,もっとも,ゆうも,ただし,まこと,確かにその通りという意味、または「ただし」という接続詞としても使われる。
若しくは,もしくは,わかしくは,じゃくしくは,にゃくしくは,または・あるいはという意味の接続詞。法律文書などで「または」と使い分ける。
彷徨う,さまよう,ほうこう,うろつく,まよう,あてもなくうろうろと歩き回ること。精神的に迷い続けることも指す。
慄く,おののく,りつく,ふるえく,おそれく,恐怖や寒さで体が震えること。強い恐れや畏れを感じる様子。
躊躇う,ためらう,ちゅうちょう,とまどう,まよう,決断できずに迷うこと。「躊躇なく行動する」の「躊躇」と同じ字。
嗜む,たしなむ,しむ,このむ,うしなむ,趣味として楽しむ・適度に親しむこと。「お茶を嗜む」「嗜み」などの形で使われる。
逞しい,たくましい,ていしい,つよしい,ちからしい,体・精神が力強くしっかりしている様子。「逞しく育つ」などの形で使われる。
窺う,うかがう,けいう,のぞきう,うかう,そっと見る・様子を観察すること。また機会を待つこと。「隙を窺う」などの形で使われる。
蔑む,さげすむ,べつむ,みくだむ,いやしむ,相手を劣ったものとして見下すこと。軽蔑する・馬鹿にする意味。
憚る,はばかる,たんる,えんりょる,かたる,遠慮する・気がねすること。「人目を憚らず泣く」などの形で使われる。
艶やか,つややか,えんやか,なまめやか,あでやか,なめらかで光沢があり美しい様子。肌・髪・果物などに使われる。
暢気,のんき,ちょうき,のびき,ゆっくり,細かいことを気にせず、おっとりとしている様子。「暢気者」「暢気な性格」の形で使われる。
弄ぶ,もてあそぶ,ろうぶ,いじぶ,ひねぶ,面白半分に扱うこと。人の気持ちや物を軽んじて扱う行為にも使われる。
贖う,あがなう,かうう,つぐのう,かえす,罪・過ちをつぐなうこと。代価を払って罪を清めるという意味。
霞む,かすむ,えんむ,もやむ,うすむ,霞や靄のためにぼんやり見えること。目がかすむ・存在感が薄れるという意味にも使われる。
諦める,あきらめる,ていめる,すてめる,やめる,望みを捨てて断念すること。「諦観」と同じ「諦」の字。仏教語が語源。
恣意,しい,じい,ほしいい,しき,自分の思うままにふるまう気まま・勝手な考え。「恣意的な判断」の形でよく使われる。
稀有,けう,まれゆう,きゆう,まれう,非常に珍しいこと・めったにないほど優れていること。「稀有な才能」などの形で使われる。
執拗,しつよう,ねばりよう,じゅうよう,しつしつ,しつこく粘り強いこと。「執拗に迫る」「執拗な追及」などの形で使われる。
蔑視,べっし,さげすみし,みくだし,へいし,見下すこと・軽蔑して扱うこと。「女性蔑視」「弱者蔑視」などの形で使われる。
杞憂,きゆう,むだゆう,きうれい,もきゆう,取り越し苦労・無用な心配のこと。古代中国の「杞」という国の人が天が落ちてくることを心配した故事から。
悠然,ゆうぜん,のんびりぜん,ゆっくりぜん,ゆうねん,落ち着いてゆったりとしている様子。「悠然と構える」などの形で使われる。
慈悲,じひ,いつくしみ,なさけひ,じび,いつくしんで哀れみをかけること。仏教用語で、衆生を救う心を指す。
施策,しさく,せさく,とりさく,せいさく,施す政策・手立て・対策のこと。「少子化対策の施策」などの形で使われる。
漸次,ぜんじ,じょじ,せんじ,ぜんつぎ,だんだんと・少しずつという意味。「漸次改善される」などの形で使われる。
凡例,はんれい,ぼんれい,ぼんたとえ,はんたとえ,書物・地図などの使い方や記号を説明した部分。「凡例を参照」などの形で使われる。
頑迷,がんめい,がんくら,かためい,がんまい,頑固で道理がわからないこと。「頑迷固陋」という四字熟語でも使われる。
懸案,けんあん,かかりあん,けいあん,けんおん,以前から解決されずに残っている問題・課題。「懸案事項」「長年の懸案」の形で使われる。
兎も角,ともかく,うさぎかく,とりあえず,ともかど,それはさておき・いずれにせよという意味。「兎も角、まずやってみよう」などの形で使われる。
忌憚,きたん,いみたん,きいじ,きだん,遠慮すること。「忌憚のない意見」は「遠慮のない率直な意見」という意味。
危惧,きぐ,あぶくれ,きお,きく,よくない結果になるのではと心配すること。「危惧する」「危惧の念を抱く」の形で使われる。
疎外,そがい,うとがい,しょがい,そとがい,仲間外れにすること・社会や集団から切り離されること。「疎外感」などの形でよく使われる。
錯綜,さくそう,まじれそう,さくしょう,さっそう,複数の物事が入り組んで混乱すること。「情報が錯綜する」などの形で使われる。
逃避,とうひ,にげひ,とうし,のがれひ,現実や困難から逃げること。「現実逃避」「逃避行動」などの形で使われる。
桎梏,しっこく,てかせ,じっこく,しっかく,手枷・足枷のこと。転じて、自由を束縛するものを指す。「桎梏から解放される」などの形で使われる。
蓋然,がいぜん,ふたぜん,かいぜん,がいねん,ある程度の確からしさ・起こりうる可能性のこと。「蓋然性が高い」の形でよく使われる。
諦観,ていかん,あきらめかん,ちかん,たいかん,物事の本質を見通すこと、または迷いなく諦めの境地に達すること。