漢字,正しい読み,意味
受理,じゅり,受け付けること
受領,じゅりょう,受け取ること
異口同音,いくどうおん,皆が同じ意見
続投,ぞくとう,引き続き担当すること
間髪,かんはつ,わずかな時間
漸次,ぜんじ,順に少しずつ
漸進,ぜんしん,少しずつ進むこと
折衷,せっちゅう,双方を取り入れること
折檻,せっかん,厳しく叱ること
月並み,つきなみ,平凡なこと
発端,ほったん,物事の始まり
発祥地,はっしょうち,始まりの場所
言質,げんち,証拠になる言葉
素人,しろうと,専門家でない人
玄人,くろうと,専門家
相乗効果,そうじょうこうか,互いに高め合う効果
愛顧,あいこ,ひいきにすること
一蹴,いっしゅう,簡単に退けること
一矢,いっし,一本の矢
凡退王,ぼんたいおう,野球の記録
一喝,いっかつ,大声で叱ること
消耗,しょうもう,使い減らすこと
消却,しょうきゃく,帳簿から除くこと
凡ミス,ぼんみす,単純なミス
奇抜,きばつ,変わっていること
奇特,きとく,感心なこと
既得権,きとくけん,既に得た権利
既成事実,きせいじじつ,既に成立した事実
既知,きち,知っていること
概念,がいねん,物事の基本的な考え
概略,がいりゃく,大まかな内容
概論,がいろん,総論
脆弱,ぜいじゃく,もろいこと
脅かす,おびやかす,危険を与えること
脅える,おびえる,恐れること
執拗,しつよう,しつこいこと
執刀,しっとう,手術すること
執行,しっこう,実施すること
踏破,とうは,歩いて制覇すること
踏査,とうさ,現地調査
収監,しゅうかん,刑務所に入れること
収斂,しゅうれん,集まること
収穫,しゅうかく,取り入れ
進捗,しんちょく,進み具合
難渋,なんじゅう,苦労すること
難解,なんかい,理解しにくいこと
難読,なんどく,読みにくいこと
依然,いぜん,そのまま
依拠,いきょ,根拠とすること
依頼心,いらいしん,頼る気持ち
輪番,りんばん,順番に担当
輪唱,りんしょう,順に歌うこと
把持,はじ,しっかり持つこと
把握力,はあくりょく,理解する力
偏在,へんざい,偏って存在すること
偏屈,へんくつ,ひねくれていること
閲読,えつどく,読むこと
閲兵,えっぺい,軍隊の視察
趣味,しゅみ,好み
趣意書,しゅいしょ,目的説明文
鳥獣,ちょうじゅう,鳥と獣
俯仰,ふぎょう,見上げたり見下ろしたり
俯せる,うつぶせる,うつ伏せにする
脈拍,みゃくはく,脈の回数
脈診,みゃくしん,脈を見る診察
廉売,れんばい,安売り
廉恥,れんち,恥を知ること
措定,そてい,仮に定めること
措置法,そちほう,特別法
強硬,きょうこう,態度が厳しいこと
強弁,きょうべん,無理に言い張ること
強要,きょうよう,無理に求めること
一炊の夢,いっすいのゆめ,人生の栄華は儚いということ。
一瞥,いちべつ,ちらっと見ること。
一段落,いちだんらく,物事が一区切りつくこと。「ひとだんらく」は慣用読み。
一堂,いちどう,一つの建物や同じ場所に集まること。
右往左往,うおうさおう,混乱してあちこち動き回ること。
閏年,うるうどし,2月が29日ある年のこと。
会得,えとく,物事を理解して自分のものにすること。
回向,えこう,死者の成仏を願って仏事を行うこと。
回廊,かいろう,建物の周りを取り囲む屋根付きの廊下。
画策,かくさく,ひそかに計画を立てること。
拡散,かくさん,広がり散らばること。
楽観,らっかん,物事を良い方に考えること。
割愛,かつあい,惜しいと思いながらも省略すること。
間髪を入れず,かんはつをいれず,間に髪の毛1本も挟めないほど即座に。
危急,ききゅう,危険が差し迫っていること。
奇才,きさい,卓越した才能のこと。
希求,ききゅう,強く願い求めること。
詰問,きつもん,厳しく問い詰めること。
客体,きゃくたい,主観の認識の対象となるもの。
客分,かくぶん,組織の外から客として迎える立場。
逆転,ぎゃくてん,事の形勢が反対になること。
久遠,くおん,永遠のこと。
供奉,ぐぶ,行幸などに供として付き従うこと。
苦言,くげん,相手のためを思っていさめる言葉。
具眼,ぐがん,物事の真価を見抜く確かな眼力があること。
建立,こんりゅう,寺院や堂塔を建てること。
古文書,こもんじょ,古い時代の公文書や記録。
借用,しゃくよう,物を借りること。
主客,しゅかく,主人と客、または主なものと従属するもの。
遵守,じゅんしゅ,法律や規則に従い、それを守ること。
成就,じょうじゅ,願いや望みが叶うこと。
新進気鋭,しんしんきえい,ある分野に新しく登場し、勢いが盛んなこと。
親見,しんけん,自分の目で実際に確かめること。
進捗,しんちょく,物事が捗ること。「しんぽ」は別の漢字。
吹聴,ふいちょう,言いふらすこと。
推敲,すいこう,文章を何度も練り直すこと。
正気,しょうき,確かな意識。
正確,せいかく,間違いがないこと。
折半,せっぱん,二等分にすること。
洗礼,せんれい,キリスト教の入信儀式、または最初の試練。
相好,そうごう,表情や顔立ちのこと。
相応,そうおう,ふさわしいこと。
他人事,たにんごと,自分に関係のないこと。「ひとごと」が本来の読み。
大衆,たいしゅう,一般の民衆。
知悉,ちしつ,知り尽くすこと。
貼紙,はりがみ,壁などに貼る紙。「ちょうし」は誤読。
直訴,じきそ,手続きを踏まずに直接目上の人に訴えること。
追従,ついじゅう,他人の後に従うこと。「ついしょう」はへつらうこと。
定石,じょうせき,囲碁の決まった打ち方、または物事の定番の方法。
天下逸品,てんかいっぴん,世の中に並ぶものがないほど優れた品。
転変,てんぺん,移り変わること。
土壇場,どたんば,決断を迫られる最後の場面。
踏襲,とうしゅう,前人のやり方をそのまま受け継ぐこと。
読経,どきょう,お経を声に出して読むこと。
突風,とっぷう,急に激しく吹く風。
内裏,だいり,皇居、またはお雛様の男雛と女雛。
難航,なんこう,障害が多くて進行が遅れること。
日和,ひより,天候、または物事をするのに都合の良い天気。
博学,はくがく,広い分野の知識を持っていること。
破綻,はたん,物事が成り立たなくなること。
繁盛,はんじょう,賑わって栄えること。
万寿,まんじゅ,長寿を祝う言葉。
批准,ひじゅん,条約を最終的に確認して承認すること。
不世出,ふせいしゅつ,めったに世に現れないほど優れた。
普及,ふきゅう,広く行き渡ること。
敷設,ふせつ,鉄道や電線を設置すること。
普遍,ふへん,すべてに共通して広く当てはまること。
分限,ぶんげん,その人の身分や財産の程度。
片鱗,へんりん,ほんの一部。
本懐,ほんかい,本来の願いや本望。
満身創痍,まんしんそうい,体中が傷だらけ、または非難を浴びている状態。
未曾有,みぞう,いまだかつて起こったことがない珍しいこと。
妙味,みょうみ,優れた味わいやおもしろみ。
名誉,めいよ,誇りとなる良い評判。
目論見,もくろみ,計画や企てのこと。
野暮,やぼ,洗練されておらず、融通が利かないこと。
唯々諾々,いいだくだく,他人の言いなりになる様子。
遺言,ゆいごん,死後のために言葉を残すこと。「いごん」は法的な表現。
遊興,ゆうきょう,遊んで楽しむこと。
理不尽,りふじん,道理に合わないこと。
流布,るふ,世間に広く広まること。
流転,るてん,移り変わっていくこと。
励行,れいこう,決めたことを厳しく実行すること。
労資,ろうし,労働者と使用者（経営者）。
冤罪,えんざい,無実の罪。
乖離,かいり,かけ離れること。
詭弁,きべん,こじつけの議論。
捏造,ねつぞう,事実でないことをでっち上げること。「でつぞう」は古い読み。
逼迫,ひっぱく,事態が差し迫って余裕がないこと。
穿つ,うがつ,本質を捉える、または穴をあける。
呟く,つぶやく,小声で言う。
狼狽,ろうばい,慌てふためくこと。
奢侈,しゃし,必要以上に贅沢をすること。
矜持,きょうじ,自分の能力に対する誇り。「きんじ」は慣用読み。
進退維谷まる,しんたいいきわまる,どうにも動きが取れなくなること。
面目,めんぼく,世間に対する名誉や立場。「めんもく」も正解。
一新,いっしん,すっかり新しくすること。
行脚,あんぎゃ,諸国を巡り歩くこと。
横柄,おうへい,威張って人を見下す態度。
一昨昨日,さきおととい,おとといの前の日のこと。
一段,いちだん,他と比べて程度が格段に違うこと。
一蹴,いっしゅう,あっさりと断ったり、簡単に打ち負かしたりすること。
意気消沈,いきしょうちん,元気がなくなって沈み込むこと。
一筋縄,ひとすじなわ,普通の手段。多くは「?ではいかない」と否定を伴う。
引導,いんどう,あきらめるように最終的な宣告をすること。
隠蔽,いんぺい,都合の悪いことを隠し覆うこと。
有頂天,うちょうてん,大喜びして我を忘れること。
会釈,えしゃく,軽く頭を下げて挨拶すること。
回帰,かいき,ひとまわりして元の状態に戻ること。
壊滅,かいめつ,組織や街などがすっかり破壊されてなくなること。
確執,かくしつ,互いに自分の意見を譲らないことから生じる不和。
寡黙,かもく,言葉数が少なく、静かなこと。
間隙,かんげき,物と物とのすき間、または不和のきっかけ。
含蓄,がんちく,言葉などのなかに深い意味が込められていること。
奇禍,きか,思いがけない災難のこと。
忌憚,きたん,いみはばかること。多くは「?のない意見」と否定を伴う。
玉石混交,ぎょくせきこんこう,優れたものと劣ったものが混ざっていること。
業腹,ごうはら,非常に腹が立つこと。
金字塔,きんじとう,後世に永く残るような偉大な業績。
形骸化,けいがいか,形だけで中身や意味がなくなってしまうこと。
薫陶,くんとう,優れた人格で人を教育し育てること。
景気,けいき,経済活動の活気の連動、または様子。
劇薬,げきやく,作用が激しく、使い方を誤ると危険な医薬品。
固執,こしつ,自分の意見を頑なに譲らないこと。「こしゅう」も本来は正解。
互選,ごせん,特定のメンバーの中でお互いに投票して選ぶこと。
誇張,こちょう,大げさに表現すること。
姑息,こそく,根本的な解決をせず、その場しのぎをすること。
古今東西,ここんとうざい,昔から今まで、そしてあらゆる場所で。
御利益,ごりやく,神仏から授かる恵みのこと。
行住坐臥,ぎょうじゅうざが,歩く、とどまる、座る、寝るという日常の振る舞い。
彩る,いろどる,美しく飾ったり、色をつけたりすること。
刷新,さっしん,悪い状態を改めて、まったく新しくすること。
山積,さんせき,問題や仕事が山のようにたまっていること。
暫定,ざんてい,正式に決まるまで、一時的に取り決めること。
質実剛健,しつじつごうけん,飾り気がなく真面目で、心身ともにたくましいこと。
示唆,しさ,それとなくヒントを与えて教えること。
私利私欲,しりしよく,自分の利益や欲望だけを追求すること。
嗜好,しこう,好んで親しむこと。
遮る,さえぎる,進行や視界を途中で邪魔して止めること。
杓子定規,しゃくしじょうぎ,決まりきった基準にこだわり、融通がきかないこと。
宿痾,しゅくあ,長年治らないでいる重い病気。
従容,しょうよう,ゆったりと落ち着いていて慌てない様子。
諸刃の剣,もろはのつるぎ,一方では役に立つが、他方では大損害を被る危険があるもの。
深謝,しんしゃ,深く感謝すること、または深く謝罪すること。
数奇,すうき,運命のめぐり合わせが波乱万丈であること。
寸暇,すんか,ほんのわずかな空き時間。
正味,しょうみ,外袋などを除いた、中身だけの実際の量や価値。
赤裸々,せきらら,包み隠さず、すべてをありのままにすること。
脆弱性,ぜいじゃくせい,コンピュータ等の安全上の欠陥、またはもろさ。
先見の明,せんけんのめい,将来何が起こるかをあらかじめ見抜く知恵。
漸次,ぜんじ,だんだんと、次第に。※「暫時（しばらくの間）」と混同注意。
全幅,ぜんぷく,あらゆる限りの、すべての。「全幅の信頼」などと使う。
相殺,そうさい,互いの貸し借りを差し引いて帳消しにすること。
造詣,ぞうけい,その分野の学問や技術に深い知識と理解があること。
即席,そくせき,その場ですぐに用意すること。
対峙,たいじ,向かい合ってそびえ立つこと、または対抗して睨み合うこと。
他山の石,たざんのいし,他人の誤った言動を見て、自分の戒めとすること。
耽溺,たんでき,ひとつのことに夢中になって溺れること。
彫琢,ちょうたく,詩や文章を美しく練り上げること。
長大,ちょうだい,非常に長くて大きいこと。
直向き,ひたむき,一つのことに一生懸命に向かう様子。
陳腐,ちんぷ,古くさくて、ありふれていてつまらないこと。
丁重,ていちょう,礼儀正しく、手厚いこと。
適宜,てきぎ,各自の判断でその場にぴったり合うように行うこと。
天賦,てんぷ,生まれつき備わっている才能など。
度外視,どがいし,全く問題にしないこと。
唐突,とうとつ,前触れもなく急で、不意であること。
等閑,とうかん,物事をいい加減に扱うこと。「なおざり」とも読む。
淘汰,とうた,良いものを残し、不要なものを排除すること。
答弁,とうべん,質問に対して返答や説明をすること。
頭角,とうかく,才能や実力が周囲よりも抜きん出ること。
読破,どくは,本を最後まですべて読み切ること。
内省,ないせい,自分の考えや行動を深く反省すること。
難詰,なんきつ,欠点を厳しくなじること。
日常生活,にちじょうせいかつ,普段の毎日の暮らし。
粘着,ねんちゃく,ぴったりとくっついて離れないこと。
能弁,のうべん,言葉巧みに、しゃべるのが上手なこと。
把握,はおく,内容をしっかりと理解し、自分のものにすること。
博識,はくしき,幅広い知識をたくさん持っていること。
破天荒,はてんこう,前人未到の偉業を成し遂げること。※豪快という意味は誤り。
波及,はきゅう,影響がだんだんと周囲に広がっていくこと。
破格,はかく,一般的・標準的な基準を大きく外れて格別なこと。
抜群,ばつぐん,周囲と比べて特に優れていること。
繁茂,はんも,草木が盛んに生い茂ること。
反故,ほんご,書き損じた紙、または約束を無効にすること。「ほご」とも。
万事,ばんじ,すべてのこと。
美辞麗句,びじれいく,うわべだけを美しく飾った、中身のない言葉。
批難,ひなん,人の過ちや欠点を責めること。通常は「批判」「非難」を使う。
氷山の一角,ひょうざんのいっかく,現れている事象が、全体のほんの一部にすぎないこと。
普及啓発,ふきゅうけいはつ,広く行き渡らせ、理解を深めさせること。
布石,ふせき,将来のためにあらかじめ打っておく手回し。
普遍的,ふへんてき,すべてのものに共通して当てはまる様子。
不憫,ふびん,哀れでかわいそうな様子。
平穏,へいおん,変わったことがなく、穏やかなこと。
変貌,へんぼう,姿や様子がすっかり変わること。
放埓,ほうらつ,勝気で気まま、だらしないこと。
勃発,ぼっぱつ,事件などが急に起きること。
凡例,はんれい,本の巻頭などにある、見方や使い方の決まり。
邁進,まいしん,目標に向かってひたすら突き進むこと。
埋没,まいぼつ,埋もれて見えなくなること、または世間に埋もれて目立たないこと。
慇懃無礼,いんぎんぶれい,言葉や態度は丁寧すぎるほどだが、実は尊大で心がこもっていないこと。
月極,つきぎめ,1か月単位で契約を交わすこと。主に駐車場などの契約で用いられる。
凹凸,おうとつ,くぼんでいるところと、高くなっているところ。高低や不平があること。
漸次,ぜんじ,だんだんと、しだいに。時間の経過とともに少しずつ変化する様子。
暫時,ざんじ,しばらくの間、少しの間。わずかな時間を表す語。
遵守,じゅんしゅ,法律や規則、道理などをかたく守り、それに従うこと。
所謂,いわゆる,世間で言われている、俗に言う。過去の言葉や定義を引き出す語。
汎用,はんよう,一つの用途に限らず、広くさまざまな方面や目的に用いること。
逝去,せいきょ,他人が他界すること、死ぬことの尊敬語。他人の死を敬って言う表現。
出納,すいとう,金銭や物品を出し入れすること。会計の管理などに用いる。
各々,おのおの,それぞれ、各自。複数の人や物のひとつひとつを指す。
会釈,えしゃく,軽いお辞儀をすること。相手に対して敬意や挨拶を示す動作。
一入,ひとしお,ひときわ、いっそう。感情や状態が他と比べてより強まる様子。
美人局,つつもたせ,夫婦などが共謀し、妻に他の男を誘惑させ、それを言いがかりに金品を脅し取る狂言。
依存心,いそんしん,他人に頼り、甘えようとする気持ちや心理。
他人事,ひとごと,自分には無関係な、他の人に関する事柄。
貼付,てんぷ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
代替,だいたい,それに見合う他のもので代えること。代わりのもの。
押印,おういん,印鑑を書類に押すこと。捺印と同義。
礼賛,らいさん,素晴らしいものとして褒めたたえ、崇めること。
年俸,ねんぽう,1年を単位として支給される給与や報酬の額。
割愛,かつあい,惜しいと思いながらも、省略したり切り捨てたりすること。
廉価,れんか,商品の値段が安いこと。安価。
役務,えきむ,他人のために行う労働やサービス、仕事のこと。
適宜,てきぎ,その場の状況に合わせて、各自の判断で都合よく行う様子。
嫌悪,けんお,不快に感じて強く嫌うこと。憎み嫌う気持ち。
原因,げんいん,ある結果を引き起こすもととなった事柄や理由。
幕間,まくあい,演劇などで、一つの幕が閉じてから次の幕が開くまでの間の休憩時間。
忌引き,きびき,近親者の死去により、学校や仕事を休むこと。
粗利益,あらりえき,売上高から売上原価を差し引いた、大まかな利益のこと。売上総利益。
雰囲気,ふんいき,その場を満たしている気分や、独特の空気感。
肉汁,にくじゅう,肉を調理したときに出る、旨味を含んだ汁。
続柄,つづきがら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
猛者,もさ,武勇に優れた人、あるいは特定の分野で非常に実力や勢力がある人。
疾病,しっぺい,病気のこと。疾患や患い。
建立,こんりゅう,寺院や堂塔、碑などを建設すること。
言質,げんち,後で証拠となるような、約束の言葉。言葉の質。
幕間,まくあい,演劇などの幕と幕との間の時間。休憩時間。
声色,こわいろ,声の調子。また、他人の声の出し方を真似すること。
体裁,ていさい,外から見た様子、格好、世間体。書類などのレイアウトや体裁。
委嘱,いしょく,特定の仕事や業務を、外部の人に頼んで任せること。
訃報,ふほう,死去、死亡の知らせ。悲報。
乳離れ,ちばなれ,幼児が母乳を飲むのをやめること。また、親から精神的に自立すること。
河川敷,かせんしき,常時水が流れている区域の外側にある、平らな土地や敷地。
黙示録,もくしろく,キリスト教における、世界の終末と最後の審判を記した書物。隠された真実の開示。
一段落,いちだんらく,仕事や物事が一区切りついて、ひとまず落ち着くこと。
茨城,いばらき,関東地方にある県名の一つ。
所以,ゆえん,理由、わけ、根拠。～となる理由。
相殺,そうさい,互いの貸し借りを差し引いて帳消しにすること。利害や効果を消し合うこと。
供奉,ぐぶ,天皇や皇族の行幸などの際、お供をして従うこと。
端役,はやく,演劇や映画などで、重要性の低い重要でない役。重要性の低い役割。
身重,みおも,女性が妊娠していること。お腹に子どもがいて体が重い状態。
生粋,きっすい,混じり気が全くないこと。純粋なその土地生まれなど。
意訳,いやく,外国語の言葉の表面的な意味にとらわれず、全体の意味をくみとって翻訳すること。
反故,ほご,役に立たなくなった紙。約束や取り決めをなかったことにすること。
境内,けいだい,神社や寺院の敷地、領内のこと。
賜杯,しはい,天皇や皇族などから褒美として授けられる杯。
間髪,かんはつ,（間髪を入れず）間に髪の毛1本を入れる隙間もないほど、ただちに、即座に。
未曽有,みぞう,
諸刃の剣,もろはのつるぎ,一方では非常に役に立つが、他方では大きな害を受ける危険もあるものの例え。
大舞台,おおぶたい,重要な活躍の場、実力を発揮する大きな晴れの舞台。
一切,いっさい,全部、すべて。または（下に打ち消しの語を伴って）まったく、少しも。
因縁,いんねん,物事が生じる直接の因と間接の縁。宿命や因縁、言いがかり。
横溢,おういつ,水などがみなぎりあふれること。元気や才能などが満ちあふれている様子。
怨念,おんねん,強い恨みのこもった一念。深く根に持った怨み。
侠客,きょうかく,強きを挫き、弱きを助けることを旨とした、昔の無法者・おとこだて。
下衆,げす,心の卑しい人、下劣な人。身分の低い人。
手水,ちょうず,神仏にお参りする前に、手や口を洗い清める水。またはその行為。
極寒,ごっかん,この上なく寒いこと。非常に厳しい寒さ。
茶飯事,さはんじ,日常のありふれたこと。きわめて普通な出来事。
煙,けむり,物が燃えるときに発生する、微粒子を含んだ気体。
奇しくも,くしくも,不思議にも、偶然にも。奇妙なことに。
小暗い,おぐらい,何となく薄暗い、少し暗い様子。
心恋しい,うらがなしい,何となく心が寂しく、慕わしく思われる。※画像「心恋しい」正解「うらがなしい」は古語的な表現。
意気地,いくじ,物事をやり遂げようとする気力、根性。
一世代,いっせだい,人が生まれてから親になるまでの約30年間。また、あるひとつの時代。
一見さん,いちげんさん,紹介などのない、初めての馴染みのない客のこと。
活魚,いけうお,生きている魚。料理の直前まで生かしておく魚。
押捺,おうなつ,印鑑や指紋を押すこと。
完遂,かんすい,物事を最後まで完全にやり遂げること。
行年,ぎょうねん,この世に生きていた年数。享年。亡くなったときの年齢。
頌春,しょうしゅん,新年を褒めたたえ、祝うこと。年賀状の賀詞。
逐次,ちくじ,順を追って次々に行う様子。順次に。
嫡子,ちゃくし,正妻の産んだ最初の子。家督を継ぐべき子。
雑魚寝,ざこね,狭い場所に多くの人が入り混じって、一つの布団などで一緒に寝ること。
ご利益,ごりやく,神仏が人間に与える恵み、幸運。
好事家,こうずか,風流な事柄を好む人。物好きな人。
気っ風,きっぷ,気性、気立て。特に、さっぱりとして思い切りのよい江戸っ子的な気質。
今際の際,いまわのきわ,臨終のとき、死に際、息を引き取る直前。
上手,かみて,舞台の客席から見て右側のこと。また、位置が高い方。
運否天賦,うんぷてんぷ,人の運命は天に任せるしかないということ。一か八かの運試し。
市井,しせい,人が多く集まり住む所、街、世間。
舌鼓,したつづみ,あまりの美味しさに舌を鳴らすこと。「したづつみ」は誤読・慣用。
定石,じょうせき,囲碁で、昔から研究されている最善とされる決まった打ち方。物事の定番の手順。
進捗,しんちょく,物事が順調にはかどり、前に進むこと。進行具合。
脆弱,ぜいじゃく,もろくて弱いこと。身体や組織、システムなどが不完全な様子。
相好,そうごう,顔の表情、顔立ち。（相好を崩す：顔をほころばせて喜ぶ）
台頭,たいとう,勢力を増して、表面に現れてくること。頭角を現すこと。
塩梅,あんばい,料理の味加減、物事の具合や加減、身体の調子。
伝播,でんぱ,広く伝わり、広がっていくこと。波動や文化などが他に広まること。
如実,にょじつ,実際の通りであること、ありのまま、生き生きとしている様子。
凡例,はんれい,書物の初めに、その編纂の方針や利用の仕方を箇条書きにしたもの。
平生,へいぜい,ふだん、いつも、平素。日常の様子。
数寄屋,すきや,茶室風に造った建物、風流な意匠の家。
清々しい,すがすがしい,さわやかで気持ちが良い、汚れがなく心地よい様子。
上意下達,じょういかたつ,上の者の意思や命令を、下の者へ確実に伝えること。
参内,さんだい,宮中に参上すること。天皇に拝謁するために参内すること。
精進,しょうじん,一つの物事に精神を集中して励むこと。肉食を断ち身を清めること。
性悪,しょうわる,性質や性格が悪いこと。ひねくれていること。
清拭,せいしき,病気などで入浴できない人の体を、温かいタオルなどで拭いて清潔にすること。
殺生,せっしょう,生き物を殺すこと。または、むごいこと、気の毒なこと。
遡行,そこう,流れをさかのぼって行くこと。物事の過去にさかのぼって調べること。
凋落,ちょうらく,勢いが衰えて落ちぶれること。花や葉がしぼんで落ちること。
釣瓶,つるべ,井戸から水を汲み上げるための、縄をつけた桶。
貪欲,どんよく,非常に欲が深いこと。また、知識などを強く求める様子。
万全,ばんぜん,少しの手落ちもない、完璧で絶対に安全な様子。
日和,ひより,空模様、天気。また、物事をするのに都合のよい天気。
末期,まつご,人間の死に際、最期のこと。※画像「末期(の水)」は「まつごの水」。
大勢,たいせい,物事の全体の形勢、大きな流れ。※画像「大勢(が決まる)」は「たいせい」。
追従,ついしょう,他人の意見にそのまま従うこと。こびへつらうこと。※画像「追従(を言う)」は「ついしょう」。
名代,なだい,評判が高いこと、有名であること。または代理人のこと。※画像「名代(の店)」は「なだい」。
